r_id,r_name,instructions,description,cooking_time,writer_id
352436,starbucks vanilla rooibos tea latte  copycat,"['add milk & tea bag to mug , microwave for 1 minute on high', 'add water , microwave for another minute', 'add syrup , sweetener and cinnamon', 'stir , enjoy !']","this is my version of the new starbucks tea, i tried to make it low in fat and sugar.  it is also so much cheaper!",4,1
131833,steak hache avec oeufs a cheval  hamburgers w  eggs on horseback,"['sprinkle the patties with salt and pepper and grill the hamburgers', 'transfer the patties to a warmed platter and start the eggs', 'heat 4 teaspoons of butter in a skillet and carefully break the eggs and cook them sunny side up until the whites are firm', 'remove from the skillet and place one egg on each pattie', 'sprinkle the eggs with salt and pepper', 'arrange the anchovies on top of the eggs', 'heat 4 tablespoons in a skillet', 'when it gets foamy , add the capers and parsley', 'when the butter just starts to brown , pour equal amounts of the sauce over each egg / pattie and serve hot']","""hamburgers with ""eggs on horseback"" - hamburgers served with fried eggs. i had these at a bistro in paris and loved them! very low carb!",23,1
121160,pineapple  coconut   banana rum delight,"['place milk and pineapple chunks in blender and blend to mix the milk into the pineapples', 'this will have a slight chunky texture', 'place in a very large bowl or pot with all the rest of the ingredients except for the optional seltzer', 'mix and pour into 3 gallon freezer ziplock storage bags', 'freeze overnight', 'place into a punch bowl the icy mixture', 'you can add the optional seltzer if it`s to strong or to sweet for you', 'i kept it on the side for my guests to have an option to add if they want']","made this frozen punch for mothers day would be great for those summer bbqs. this can be made days before and placed in a punch bowl, which makes it easy for cooking and serving a family get together.",10,1
76045,updated waldorf classic,"['mix mayonnaise , lemon peel and fresh lemon juice in medium bowl to blend', 'season with salt and pepper to taste', 'refrigerate', 'toss apples , celery , radishes , cranberries and red onions in large bowl', 'add lemon mayonnaise and toss to coat', 'can be prepared 1 day in advance', 'cover and refrigerate', 'right before serving , fold in the cashews']",this is the best waldorf salad ever! it is so addictive. i've made it many times for parties and recipes are frequently requested. i can eat this stuff everyday!,60,1
283271,low fat loaded baked potato soup,"['combine first six ingredients in a slow cooker', 'cover and cook on high for 4 hours or low for 8 hours , until potatoes are tender', 'remove 1 cup of mixture and mash potatoes', 'return to cooker', 'add half and half , cheese , and chives', 'mix well', 'heat thoroughly', 'to serve: top with dollop of sour cream , sprinkles of cooked bacon and more cheese , if desired']",a version of baked potato soup to cut out some of the fat and calories. comfort food and crock pot easy!,250,1
75242,honey pumpkin bundt cake,"['preheat oven to 350f', 'stir together flour , baking soda , cinnamon , salt , nutmeg , ginger and cloves until blended', 'in a large bowl , combine butter and honey', 'beat with an electric mixer or by hand until creamy', 'beat in eggs , one at a time , until blended', 'then stir in vanilla , pumpkin , dates , nuts , and flour mixture until blended', 'pour mixture into a greased and flour-dusted 12-cup fluted bundt or tube-cake pan', 'bake for 45 minutes or until a pick inserted in center comes out clean', 'cool on rack', 'sprinkle with powdered sugar', 'serve or store , wrapped in foil , at room temperature for two days , freeze for longer storage']",try this one for your thanksgiving buffet!,65,1
92862,eggplant  aubergine   rollatini with three cheeses,"['sprinkle the eggplant slices lightly with salt on both sides and let them drain in a colander for 30 minutes', 'in a food processor chop fine the feta , add the ricotta , the egg , 1 / 2 cup of the parmesan and the lemon juice and blend the mixture until it is smooth', 'add 1 / 4 cup of the parsley and the scallion and process the mixture for 10 seconds', 'transfer the eggplant slices to paper towels and pat them dry', 'arrange one third of the eggplant slices in one layer on a jelly-roll pan , brushed with the oil , and brush the tops with the oil', 'cook the eggplant slices under a preheated broiler about 4 inches from the heat , turning them once and brushing them again with the oil , for 8 to 10 minutes , or until they are browned lightly on both sides', 'transfer them to paper towels to drain and cook the remaining slices in the same manner', 'put 2 tablespoons of the cheese mixture at a short end of each slice and roll up the slices to enclose the filling', 'spread 1 / 4 cup of the sauce in a 10-by-7-inch baking pan and arrange the eggplant rolls in one layer on the sauce', 'pour the remaining sauce over the rolls and sprinkle it with the remaining 1 / 4 cup parmesan', 'bake the rollatini in a preheated 350 degrees f oven for 30 to 40 minutes , or until they are heated through , and sprinkle them with the remaining 1 tablespoon parsley']",courtesy gourmet magazine. i think it's the best eggplant rollatini i've tasted.,40,1
350369,spinach  feta and pine nut salad,"['place the washed spinach with the feta , onion and pine nuts in a bowl', 'sprinkle with sherry vinegar , then drizzle with the oil , which allows the dressing to coat all the ingredients', 'serve']","this salad is great with lamb, or just on its own. the vinegar cuts through the saltiness of the cheese, and the spinach and pine nuts are just a fantastic flavour comination.",15,1
21752,cream of chicken potato bake,"['in a 2 1 / 2 quart casserole layer some of the potatoes , top with onion slices , dot with butter', 'sprinkle with salt and pepper lightly', 'repeat process until all potatoes and onions are used', 'combine soup and milk', 'whisk till blended', 'pour over potatoes', 'cover and bake at 325 for 45 minutes till hot and bubbly and potatoes test tender with a fork']","this is for all you cream soup lovers like me. easy, no fuss and great with ham, pork chops or fried chicken. enjoy!",55,1
25222,chicken   wild rice salad,"['prepare rice according to package directions , chill', 'in a small mixing bowl , combine mayonnaise , sour cream , and chicken', 'stir in cooked rice', 'refrigerate until ready to serve', 'stir in cashews and serve on lettuce leaf', 'garnish with alfalfa sprouts', 'you may use low-fat mayonnaise and sour cream']",great for a brunch or just a lite dinner.,40,1
92123,quick lemon iced tea   by the glass,"['place water in a microwave-safe measuring cup and microwave on high for 2 1 / 2- 3 minutes , or until water just begins to boil', 'place tea bags in hot water and allow to steep for approximately 4 minutes', 'while mixture is steeping , fill a 20 ounce drinking glass to just below the top with ice cubes and squeeze lemon over the top of the ice', 'pour steeped tea over glass of ice and gently mix lemon with tea', 'serve cold , sweetened if you desire']","i drink this all the time whenever i don't make a pitcherful. sometimes it's only me drinking tea and i don't need a lot, so this is fast and perfect. you can sweeten yours however you like- i don't. i also like this much lemon, but you can use a little less if you like a milder lemon taste. i use luzianne (black) tea, but sometimes i mix one of the tea bags up with an herbal, flavored tea, like blackberry.",7,1
133909,ginger cider lemonade,"['bring the water , sugar , and fresh ginger to a boil in a medium saucepan', 'boil for 1 minute , then remove from heat', 'add lemons to the pan and let stand for 30 minutes', 'squeeze juice from the lemons', 'strain the lemon mixture through a fine sieve into a large bowl or pitcher', 'discard the solids', 'stir in the cider and chill for at least 1 hour before serving']","i'm not sure exactly where this recipe came from, but it sure is good!",40,1
480706,bbq tri tip roast with blackberry wine marinade and veggies,"['with a fork scrape the surface of the meat on all sides', 'work 1 tbsp of olive oil into the meat on each side then sprinkle generously the garlic salt , pepper and roast seasoning over the roast', 'set a side', 'in a large casserole dish or oven / marinating bad combine the beef broth , blackberry wine , rosemary and all the veggies', 'place the roast into the marinade and veggies and allow to sit at least 4 hours', 'you can prepare this a day before and allow the roast to marinate in the fridge over night', 'get your coals ready and i like them to be gray before i put the meat on', 'on a large sheet of aluminum place all the veggies in the center', 'fold up the edges of the aluminum to create a pocket', 'make sure your creases are folded tightly so none of the juices can leek out', 'put the veggies on the grill and flip every 15 minutes', 'after you have flipped the veggies twice it is time to put the meat on', 'grill the meat till the all the sides are dappled with charring', 'continue to cook the veggies for another 15-30 minutes while the roast is cooking', 'all should be done around the same time', 'once removed allow the roast to sit for 10 minutes', 'carve and serve hot with the unwrapped veggies', 'enjoy !']",great for a summer bbq with the sweet warm hints of summer blackberries this is one of my family's favorites.,360,1
