r_id,t_id
20081,170
20081,176
318318,20
318318,2
318318,3
318318,4
318318,5
318318,7
318318,48
318318,8
318318,15
318318,16
318318,30
318318,18
318318,33
195090,1
195090,2
195090,3
195090,10
195090,4
195090,35
195090,6
195090,7
195090,66
195090,8
195090,87
195090,61
195090,105
195090,81
195090,9
195090,15
195090,16
195090,84
195090,163
195090,18
195090,101
195090,142
195090,109
122898,2
122898,3
122898,10
122898,34
122898,4
122898,90
122898,13
122898,177
122898,178
122898,8
122898,67
122898,15
234113,1
234113,2
234113,3
234113,10
234113,34
234113,4
234113,35
234113,11
234113,22
234113,5
234113,149
234113,90
234113,66
234113,179
234113,8
234113,67
234113,70
234113,180
234113,15
234113,16
234113,181
234113,182
234113,183
234113,18
234113,74
234113,184
234113,42
234113,43
234113,76
234113,33
146594,20
146594,2
146594,3
146594,4
146594,5
146594,185
146594,58
146594,8
146594,26
146594,15
146594,33
74972,77
74972,2
74972,3
74972,10
74972,34
74972,4
74972,58
74972,124
74972,129
74972,67
74972,186
74972,15
74972,53
74972,187
74972,76
74972,65
34438,1
34438,2
34438,3
34438,10
34438,34
34438,4
34438,35
34438,36
34438,21
34438,11
34438,94
34438,149
34438,90
34438,136
34438,66
34438,13
34438,37
34438,188
34438,120
34438,8
34438,60
34438,61
34438,26
34438,70
34438,15
34438,189
34438,190
34438,16
34438,92
34438,17
34438,151
34438,191
34438,73
34438,18
34438,76
34438,32
34438,33
45704,77
45704,2
45704,3
45704,10
45704,34
45704,4
45704,35
45704,156
45704,58
45704,116
45704,129
45704,8
45704,67
45704,186
45704,15
45704,40
45704,31
45704,192
45704,42
45704,76
45704,65
284065,2
284065,3
284065,10
284065,4
284065,35
284065,11
284065,7
284065,60
284065,150
284065,39
284065,193
284065,14
284065,15
284065,16
284065,51
284065,72
284065,73
284065,18
284065,42
284065,47
284065,173
284065,65
135940,54
135940,2
135940,3
135940,10
135940,34
135940,4
135940,58
135940,13
135940,8
135940,67
135940,87
135940,26
135940,194
135940,15
135940,17
135940,18
135940,19
57626,54
57626,2
57626,3
57626,10
57626,4
57626,35
57626,58
57626,59
57626,60
57626,82
57626,15
57626,53
213165,54
213165,2
213165,3
213165,10
213165,34
213165,4
213165,35
213165,36
213165,11
213165,48
213165,55
213165,195
213165,66
213165,37
213165,129
213165,38
213165,91
213165,26
213165,70
213165,15
213165,29
213165,30
213165,41
213165,52
213165,18
213165,134
213165,96
213165,42
213165,43
213165,76
213165,47
213165,155
196327,196
196327,3
196327,10
196327,34
196327,4
196327,35
196327,94
196327,58
196327,124
196327,177
196327,129
196327,67
196327,61
196327,197
196327,15
196327,189
196327,106
196327,17
196327,107
196327,18
196327,53
196327,76
148209,54
148209,2
148209,3
148209,10
148209,34
148209,4
148209,35
148209,36
148209,11
148209,132
148209,7
148209,66
148209,37
148209,60
148209,61
148209,144
148209,15
148209,189
148209,63
148209,16
148209,41
148209,191
148209,18
238197,20
238197,2
238197,3
238197,4
238197,5
238197,98
238197,8
238197,15
238197,16
238197,28
238197,198
238197,44
238197,18
238197,33
26095,1
26095,2
26095,3
26095,10
26095,34
26095,4
26095,35
26095,36
26095,58
26095,136
26095,59
26095,37
26095,161
26095,162
26095,38
26095,137
26095,82
26095,15
26095,53
189112,20
189112,2
189112,3
189112,4
189112,21
189112,11
189112,199
189112,7
189112,8
189112,169
189112,15
189112,16
189112,28
189112,18
189112,76
189112,32
144911,2
144911,3
144911,4
144911,103
144911,7
144911,200
144911,32
144911,65
406116,20
406116,2
406116,3
406116,4
406116,201
406116,7
406116,69
406116,15
406116,16
406116,18
279503,3
279503,10
279503,4
279503,58
279503,202
279503,8
279503,26
279503,203
279503,204
279503,15
279503,205
279503,76
279503,33
181002,1
181002,2
181002,10
181002,34
181002,4
181002,35
181002,22
181002,124
181002,13
181002,174
181002,206
181002,60
181002,15
181002,28
181002,30
181002,17
181002,44
181002,18
181002,53
181002,19
181002,57
64876,54
64876,2
64876,3
64876,10
64876,4
64876,7
64876,66
64876,129
64876,91
64876,9
64876,46
64876,15
64876,16
64876,18
64876,76
64876,32
219994,20
219994,2
219994,3
219994,34
219994,4
219994,36
219994,21
219994,11
219994,5
219994,94
219994,98
219994,24
219994,8
219994,99
219994,100
219994,15
219994,16
219994,28
219994,29
219994,30
219994,17
219994,18
219994,76
219994,102
219994,32
219994,33
277366,1
277366,2
277366,3
277366,10
277366,34
277366,4
277366,35
277366,36
277366,24
277366,136
277366,37
277366,120
277366,129
277366,8
277366,159
277366,38
277366,137
277366,138
277366,130
277366,15
277366,207
277366,40
277366,51
277366,107
277366,96
277366,42
277366,154
277366,76
277366,47
277366,155
277366,33
383671,54
383671,2
383671,3
383671,10
383671,4
383671,58
383671,59
383671,82
383671,53
383671,208
71310,1
71310,2
71310,3
71310,10
71310,34
71310,4
71310,35
71310,22
71310,140
71310,136
71310,209
71310,129
71310,38
71310,210
71310,180
71310,15
71310,207
71310,40
71310,211
71310,107
71310,96
71310,42
71310,76
292373,1
292373,2
292373,3
292373,10
292373,4
292373,48
292373,59
292373,8
292373,87
292373,82
292373,50
292373,53
292373,108
452439,20
452439,2
452439,10
452439,34
452439,4
452439,36
452439,111
452439,37
452439,212
452439,120
452439,8
452439,213
452439,33
360799,2
360799,3
360799,10
360799,4
360799,21
360799,58
360799,59
360799,82
360799,53
360799,85
360799,32
360799,65
110628,2
110628,3
110628,4
110628,22
110628,214
110628,140
110628,25
110628,15
110628,28
110628,29
110628,44
110628,18
110628,65
407629,1
407629,2
407629,3
407629,10
407629,4
407629,58
407629,13
407629,8
407629,88
407629,26
407629,15
196227,2
196227,3
196227,4
196227,103
196227,5
196227,80
196227,8
196227,38
196227,15
196227,32
196227,47
196227,155
196227,65
33608,20
33608,2
33608,3
33608,10
33608,34
33608,4
33608,35
33608,21
33608,98
33608,13
33608,174
33608,215
33608,8
33608,87
33608,26
33608,15
33608,32
33608,33
81172,1
81172,2
81172,3
81172,10
81172,34
81172,4
81172,35
81172,36
81172,11
81172,22
81172,55
81172,13
81172,128
81172,8
81172,25
81172,70
81172,15
81172,83
81172,16
81172,28
81172,29
81172,30
81172,17
81172,44
81172,18
81172,216
81172,42
81172,76
81172,33
420409,77
420409,1
420409,2
420409,3
420409,34
420409,4
420409,35
420409,36
420409,217
420409,140
420409,210
420409,84
420409,51
420409,141
420409,96
62177,54
62177,2
62177,3
62177,10
62177,4
62177,35
62177,94
62177,58
62177,111
62177,129
62177,8
62177,87
62177,60
62177,150
62177,218
62177,213
62177,15
62177,16
62177,17
62177,18
62177,219
62177,220
62177,42
62177,76
62177,47
62177,155
314974,3
314974,10
314974,34
314974,4
314974,35
314974,36
314974,21
314974,58
314974,124
314974,37
314974,204
314974,40
314974,53
314974,221
314974,42
314974,76
314974,32
324091,54
324091,2
324091,10
324091,4
324091,116
324091,13
324091,8
324091,15
324091,207
324091,107
324091,31
324091,222
493713,79
493713,77
493713,2
493713,3
493713,10
493713,34
493713,4
493713,35
493713,223
493713,58
493713,59
493713,157
493713,167
493713,61
493713,82
493713,15
493713,92
493713,168
493713,51
493713,72
493713,73
493713,53
493713,208
493713,31
493713,224
493713,42
493713,154
493713,32
493713,47
493713,155
493713,65
223528,1
223528,2
223528,3
223528,4
223528,35
223528,103
223528,7
223528,48
223528,195
223528,61
223528,9
223528,71
223528,84
223528,109
223528,32
99114,20
99114,2
99114,3
99114,10
99114,4
99114,35
99114,21
99114,5
99114,80
99114,48
99114,195
99114,66
99114,59
99114,8
99114,81
99114,15
99114,84
99114,113
99114,53
99114,96
99114,32
38469,77
38469,2
38469,3
38469,10
38469,34
38469,4
38469,35
38469,12
38469,225
38469,8
38469,67
38469,194
38469,15
38469,51
38469,53
60397,77
60397,2
60397,3
60397,10
60397,4
60397,58
60397,49
60397,204
60397,15
60397,53
60397,131
60397,76
151773,54
151773,2
151773,3
151773,10
151773,34
151773,4
151773,80
151773,48
151773,195
151773,136
151773,13
151773,137
151773,180
151773,226
151773,227
391469,20
391469,2
391469,3
391469,10
391469,4
391469,21
391469,12
391469,13
391469,15
391469,17
391469,18
391469,19
391469,32
53143,20
53143,2
53143,3
53143,10
53143,34
53143,4
53143,35
53143,36
53143,5
53143,7
53143,48
53143,136
53143,128
53143,129
53143,8
53143,45
53143,38
53143,78
53143,130
53143,15
53143,228
53143,229
53143,109
53143,76
53143,47
34791,20
34791,2
34791,3
34791,10
34791,34
34791,4
34791,35
34791,94
34791,80
34791,49
34791,177
34791,67
34791,147
34791,150
34791,230
34791,15
34791,17
34791,231
34791,18
34791,53
34791,42
34791,97
130391,1
130391,2
130391,3
130391,4
130391,35
130391,22
130391,7
130391,9
130391,15
130391,71
18851,77
18851,2
18851,3
18851,10
18851,34
18851,4
18851,35
18851,36
18851,48
18851,58
18851,49
18851,37
18851,128
18851,161
18851,8
18851,232
18851,139
18851,70
18851,15
18851,83
18851,84
18851,229
18851,53
18851,42
18851,109
18851,76
18851,65
263228,1
263228,2
263228,3
263228,34
263228,4
263228,35
263228,36
263228,149
263228,90
263228,37
263228,8
263228,232
263228,84
263228,152
396397,20
396397,2
396397,3
396397,10
396397,4
396397,103
396397,5
396397,94
396397,80
396397,136
396397,13
396397,8
396397,137
396397,15
396397,17
396397,18
396397,32
189020,2
189020,3
189020,10
189020,4
189020,35
189020,58
189020,49
189020,8
189020,233
189020,70
189020,15
189020,53
189020,234
189020,42
189020,154
189020,76
189020,47
189020,155
189020,33
189020,65
351941,2
351941,10
351941,4
351941,49
351941,124
351941,8
351941,53
351941,235
351941,236
351941,33
351941,65
86616,2
86616,3
86616,10
86616,34
86616,4
86616,35
86616,22
86616,237
86616,7
86616,136
86616,238
86616,129
86616,169
86616,60
86616,239
86616,61
86616,193
86616,138
86616,70
86616,15
86616,76
86616,47
86616,155
86616,65
370816,54
370816,2
370816,3
370816,10
370816,34
370816,4
370816,36
370816,240
370816,59
370816,128
370816,82
370816,53
434339,1
434339,2
434339,3
434339,10
434339,4
434339,21
434339,58
434339,111
434339,213
434339,220
434339,241
434339,32
12006,54
12006,2
12006,3
12006,10
12006,34
12006,4
12006,11
12006,80
12006,12
12006,90
12006,13
12006,67
12006,117
12006,15
12006,16
12006,92
12006,28
12006,29
12006,30
12006,17
12006,44
12006,73
12006,18
12006,242
411878,54
411878,2
411878,3
411878,4
411878,103
411878,7
411878,48
411878,9
411878,46
411878,15
411878,16
411878,18
411878,32
351341,54
351341,2
351341,3
351341,10
351341,34
351341,4
351341,35
351341,36
351341,6
351341,7
351341,37
351341,8
351341,87
351341,45
351341,26
351341,9
351341,14
351341,27
351341,15
351341,71
351341,16
351341,18
351341,31
351341,42
351341,43
351341,47
167048,54
167048,2
167048,10
167048,4
167048,49
167048,111
167048,53
167048,243
120600,2
120600,3
120600,10
120600,34
120600,4
120600,35
120600,244
120600,36
120600,21
120600,55
120600,136
120600,115
120600,13
120600,37
120600,120
120600,129
120600,232
120600,61
120600,38
120600,139
120600,70
120600,15
120600,189
120600,63
120600,84
120600,41
120600,51
120600,76
120600,102
120600,245
120600,32
120600,47
120600,155
120600,65
309623,2
309623,3
309623,10
309623,34
309623,4
309623,35
309623,246
309623,80
309623,58
309623,49
309623,238
309623,121
309623,60
309623,15
309623,106
309623,17
309623,107
309623,18
309623,53
309623,76
309623,123
309623,65
410954,1
410954,2
410954,4
410954,22
410954,15
265338,20
265338,2
265338,3
265338,10
265338,4
265338,5
265338,80
265338,48
265338,59
265338,8
265338,104
265338,82
265338,50
265338,53
265338,33
348492,79
348492,1
348492,2
348492,3
348492,10
348492,34
348492,4
348492,35
348492,36
348492,80
348492,13
348492,8
348492,159
348492,60
348492,15
348492,92
348492,51
348492,73
348492,158
348492,33
280086,20
280086,2
280086,3
280086,10
280086,4
280086,35
280086,22
280086,98
280086,24
280086,66
280086,8
280086,147
280086,38
280086,81
280086,26
280086,99
280086,100
280086,15
280086,16
280086,28
280086,84
280086,30
280086,44
280086,18
280086,101
280086,247
280086,170
280086,248
280086,42
280086,43
280086,76
280086,102
280086,33
280086,97
139973,2
139973,3
139973,10
139973,34
139973,4
139973,58
139973,66
139973,59
139973,174
139973,8
139973,82
139973,204
139973,51
139973,74
139973,184
139973,53
139973,76
102291,1
102291,2
102291,3
102291,10
102291,4
102291,35
102291,21
102291,240
102291,115
102291,111
102291,13
102291,218
102291,213
102291,70
102291,15
102291,40
102291,220
102291,42
102291,154
102291,76
102291,102
102291,245
102291,32
47018,54
47018,2
47018,3
47018,10
47018,34
47018,4
47018,11
47018,12
47018,13
47018,174
47018,167
47018,147
47018,26
47018,15
47018,16
47018,29
47018,30
47018,17
47018,18
47018,97
216027,54
216027,2
216027,3
216027,10
216027,34
216027,4
216027,35
216027,36
216027,7
216027,136
216027,37
216027,129
216027,8
216027,87
216027,78
216027,138
216027,70
216027,51
216027,96
216027,76
159492,2
159492,3
159492,10
159492,4
159492,35
159492,7
159492,136
159492,60
159492,200
159492,137
159492,15
159492,16
159492,18
159492,42
159492,43
159492,47
159492,173
159492,65
57550,54
57550,2
57550,3
57550,10
57550,34
57550,4
57550,35
57550,58
57550,124
57550,13
57550,129
57550,67
57550,148
57550,117
57550,130
57550,70
57550,15
57550,83
57550,17
57550,18
57550,53
57550,126
57550,242
57550,42
57550,109
57550,76
57550,47
57550,155
89433,54
89433,2
89433,3
89433,10
89433,4
89433,35
89433,7
89433,66
89433,159
89433,60
89433,78
89433,15
89433,249
89433,250
89433,47
89433,155
311654,1
311654,2
311654,3
311654,10
311654,4
311654,94
311654,58
311654,59
311654,8
311654,82
311654,70
311654,15
311654,17
311654,18
311654,53
311654,108
311654,76
189954,20
189954,2
189954,3
189954,10
189954,34
189954,4
189954,36
189954,240
189954,59
189954,128
189954,8
189954,87
189954,159
189954,82
189954,15
189954,53
434847,3
434847,34
434847,22
434847,251
434847,55
434847,167
434847,15
434847,28
434847,44
434847,18
185012,2
185012,3
185012,10
185012,34
185012,4
185012,35
185012,36
185012,103
185012,140
185012,24
185012,124
185012,37
185012,8
185012,61
185012,53
185012,126
185012,96
185012,32
185012,65
60019,77
60019,2
60019,3
60019,10
60019,4
60019,35
60019,58
60019,115
60019,13
60019,129
60019,8
60019,15
60019,119
60019,40
